#Overview of data in ClinVar by gene, dated March 2, 2020
#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
A-GAMMA3'E	109951028	5	5	-	-	-	-	-
A1BG	1	20	20	-	-	138670	3	0
A1BG-AS1	503538	11	11	-	-	-	1	0
A1CF	29974	23	23	6	1	618199	4	0
A2M	2	57	54	21	-	103950	4	0
A2M-AS1	144571	12	12	-	-	-	1	0
A2ML1	144568	468	383	426	3	610627	107	6
A3GALT2	127550	11	11	-	-	-	2	0
A4GALT	53947	48	47	12	3	607922	2	0
A4GNT	51146	22	22	1	-	616709	3	0
AAAS	8086	110	81	100	22	605378	26	6
AACS	65985	28	28	7	-	614364	2	0
AADAC	13	19	17	-	-	600338	1	0
AADACL2	344752	13	13	-	-	-	1	0
AADACL2-AS1	101928142	10	8	-	-	-	1	0
AADACL3	126767	45	45	-	4	-	9	0
AADACL4	343066	43	43	-	1	-	8	0
AADAT	51166	52	52	-	-	611754	2	0
AAGAB	79719	31	31	14	8	614888	3	0
AAK1	22848	14	14	4	-	616405	1	0
AAMDC	28971	11	11	-	-	-	4	0
AAMP	14	18	18	-	-	603488	-	-
AANAT	15	23	23	6	-	600950	3	0
AAR2	25980	12	12	2	1	617365	-	-
AARD	441376	43	43	1	-	-	1	0
AARS1	16	555	401	512	9	601065	202	19
AARS2	57505	291	224	274	22	612035	67	15
AARSD1	80755	8	8	-	-	613212	-	-
AASDH	132949	16	16	-	-	614365	2	0
AASDHPPT	60496	16	16	-	-	607756	1	0
AASS	10157	67	62	38	9	605113	12	0
AATBC	284837	52	47	-	-	-	2	0
AATF	26574	119	112	-	-	608463	6	0
AATK	9625	26	26	-	-	605276	-	-
ABALON	103021294	7	7	-	-	616018	-	-
ABAT	18	317	265	259	17	137150	130	11
ABCA1	19	447	255	402	26	600046	64	5
ABCA10	10349	21	21	2	1	612508	2	0
ABCA12	26154	276	224	251	44	607800	73	14
ABCA13	154664	65	65	39	2	607807	13	0
ABCA2	20	95	93	39	1	600047	2	1
ABCA3	21	283	224	249	13	601615	119	17
ABCA4	24	2301	1065	2249	385	601691	159	69
ABCA5	23461	48	47	31	1	612503	2	0
ABCA6	23460	19	19	-	1	612504	3	0
ABCA7	10347	98	91	60	-	605414	11	5
ABCA8	10351	23	23	6	-	612505	2	0
ABCA9	10350	18	18	-	1	612507	2	0
ABCA9-AS1	104355297	3	3	-	-	-	-	-
ABCB1	5243	66	47	47	1	171050	1	0
ABCB10	23456	30	30	3	-	605454	1	0
